timestamp,open,high,low,close,volume
1709337600000,62418,62499,61591,62056,3703696866
1709424000000,62056,63333,61318,63179,4993522208
1709510400000,63179,68687,62235,68360,17227333825
1709596800000,68360,69387,59111,63750,28760897720
1709683200000,63750,67764,62824,66118,15062085000
1709769600000,66118,68160,65555,66859,8158101666
1709856000000,66859,70320,66135,68165,12251042583
1709942400000,68165,68606,67897,68374,2134041655
1710028800000,68374,70029,68122,69000,6694771836
1710115200000,69000,72920,66923,72152,12528813000
1710201600000,72152,73391,68671,71512,14569220448
1710288000000,71512,73750,71382,73133,9137660336
1710374400000,73133,73949,68614,71473,15311344279
1710460800000,71473,72525,65559,69524,20755544781
1710547200000,69524,70081,64696,65331,10285450084
1710633600000,65331,68970,64540,68432,8314676370
1710720000000,68432,69040,66534,67644,9516769808
1710806400000,67644,68175,61555,61972,18327330072
1710892800000,61972,68133,60761,67850,14876006768
1710979200000,67850,68288,64528,65536,9617262550
1711065600000,65536,66667,62098,63816,12573540352
1711152000000,63816,66065,63001,63996,6498829992
1711238400000,63996,67699,63781,67248,6379249272
1711324800000,67248,71278,66374,69903,11193900336
1711411200000,69903,71650,69333,70046,9497440998
1711497600000,70046,71898,68400,69549,12996124702
1711584000000,69549,71616,68955,70859,7059084402
1711670400000,70859,70990,69000,69899,5994813118
1711756800000,69899,70400,69582,69639,2125069398
1711843200000,69639,71514,69609,71378,3371572185
1711929600000,71378,71395,68044,69707,8979352400
1712016000000,69707,69744,64490,65484,14872127864
1712102400000,65484,66950,64406,65972,7629213420
1712188800000,65972,69316,65036,68480,9188844048
1712275200000,68480,68776,65943,67814,9770247040
1712361600000,67814,69700,67458,68895,3274263362
1712448000000,68895,70366,68803,69355,4661642385
1712534400000,69355,72854,69050,71674,9036748435
1712620800000,71674,71814,68200,69187,10983968826
1712707200000,69187,71269,67506,70656,10264652507
1712793600000,70656,71342,69580,70038,8318472192
1712880000000,70038,71281,64669,67120,13569722424
1712966400000,67120,67938,59766,63905,14845937200
1713052800000,63905,65824,62089,65619,10972680215
1713139200000,65619,66835,62222,63414,11724343587
1713225600000,63414,64358,61512,63772,11310584454
1713312000000,63772,64480,59605,61245,12131730192
1713398400000,61245,64166,60757,63445,9420583410
1713484800000,63445,65432,59522,63775,15129602260
1713571200000,63775,65407,63038,64900,5279868475
1713657600000,64900,65694,64200,64911,4419884700
1713744000000,64911,67199,64463,66770,6758468409
1713830400000,66770,67146,65750,66398,5227623610
1713916800000,66398,67084,63563,64259,8251146664
1714003200000,64259,65272,62745,64465,8044198656
1714089600000,64465,64798,63273,63746,5931295720
1714176000000,63746,63900,62370,63413,4645043528
1714262400000,63413,64337,62674,63093,3455184131
1714348800000,63093,64193,61730,63828,7141938321
1714435200000,63828,64705,59132,60656,12843597816
1714521600000,60656,60820,56505,58298,15432463456
1714608000000,58298,59581,56887,59030,7662980610
1714694400000,59030,63344,58780,62844,8884900450
1714780800000,62844,64500,62513,63860,5272234536
1714867200000,63860,64630,62866,63998,4529334360
1714953600000,63998,65540,62669,63149,9046437290
1715040000000,63149,64399,62230,62314,6685837226
1715126400000,62314,63024,60850,61164,6563969818
1715212800000,61164,63406,60544,63036,6609259512
1715299200000,63036,63448,60111,60789,8009921484
1715385600000,60789,61500,60461,60810,2593623474
1715472000000,60810,61854,60567,61450,2552317320
1715558400000,61450,63437,60708,62909,6473204450
1715644800000,62909,63096,61000,61546,6560276338
1715731200000,61546,66430,61310,66185,8845698850
1715817600000,66185,66770,64580,65226,6409951065
1715904000000,65226,67444,65070,66973,5788937952
1715990400000,66973,67346,66469,66876,2888813382
1716076800000,66876,67738,65822,66236,4183294428
1716163200000,66236,71638,66034,71437,10340896792
1716249600000,71437,72062,69155,70168,8428923067
1716336000000,70168,70713,68812,69210,5914530888
1716422400000,69210,70159,66311,68000,9441697410
1716508800000,68000,69280,66628,68580,5298424000
1716595200000,68580,69636,68524,69306,2175151860
1716681600000,69306,69599,68121,68529,2582618784
1716768000000,68529,70738,68277,69450,4618580484
1716854400000,69450,69614,67250,68444,7733465850
1716940800000,68444,68989,67125,67676,4955961596
1717027200000,67676,69560,67137,68372,5908520856
1717113600000,68372,69077,66660,67556,5754939612
1717200000000,67556,67942,67457,67793,1209995516
1717286400000,67793,68499,67280,67776,2691721065
1717372800000,67776,70344,67622,68837,6383075904
1717459200000,68837,71110,68605,70559,5678019945
1717545600000,70559,71820,70406,71141,5588696154
1717632000000,71141,71700,70144,70836,4750013429
1717718400000,70836,72169,68337,69390,9242397936
1717804800000,69390,69610,69204,69326,1501113870
1717891200000,69326,69865,69157,69642,1757968708
1717977600000,69642,70181,69168,69516,3341562444
1718064000000,69516,69570,65932,67276,9709160688
1718150400000,67276,70000,66859,68241,10038991996
1718236800000,68241,68500,66226,66742,7243850391
1718323200000,66742,67341,65030,66021,6787327690
1718409600000,66021,66446,65808,66184,1701361170
1718496000000,66184,66950,66008,66638,1925623480
1718582400000,66638,67290,65058,66455,7102078126
1718668800000,66455,66553,64027,65146,9792277160
1718755200000,65146,65700,64650,64940,4348756084
1718841600000,64940,66458,64514,64854,6324311780
1718928000000,64854,65071,63333,64108,7067853774
1719014400000,64108,64499,63904,64223,1198691384
1719100800000,64223,64484,63123,63180,1977426170
1719187200000,63180,63330,58320,60257,13981039020
1719273600000,60257,62401,60218,61764,7694216330
1719360000000,61764,62468,60666,60838,5439184896
1719446400000,60838,62380,60565,61660,4810764850
1719532800000,61660,62218,60012,60406,5281980580
1719619200000,60406,61199,60378,60940,1961141196
1719705600000,60940,63041,60673,62750,4256537120
1719792000000,62750,63845,62464,62860,5580232000
